Title,Brand,Price,ItemStatus,NbFavourite,UserRating,NbEvalUser,Description,URL
The North Face Sweatshirt Grau / Blaues Logo auf dem Rücken,The North Face,17.0,4,11,4.5,17,"Moin, 
dieses Sweatshirt wurde einige Male getragen. Es fittet sehr gut! Noch gut erhalten!",https://www.vinted.fr/items/3325220899-the-north-face-sweatshirt-grau-blaues-logo-auf-dem-rucken
The North Face Sweater,The North Face,10.0,4,5,5,88,- Mängel aus den Bildern zu entnehmen,https://www.vinted.fr/items/5153102772-the-north-face-sweater
The North Face Sweatshirt Grau / Blaues Logo auf dem Rücken,The North Face,17.0,4,11,4.5,17,"Moin, 
dieses Sweatshirt wurde einige Male getragen. Es fittet sehr gut! Noch gut erhalten!",https://www.vinted.fr/items/3325220899-the-north-face-sweatshirt-grau-blaues-logo-auf-dem-rucken
TheNorthFace sweater ,The North Face,15.0,3,42,4.7,19,"Cw: olivgrün
Con 8,5/10
Size L fitted aber auch M",https://www.vinted.fr/items/735203631-thenorthface-sweater
The North Face Pullover,The North Face,15.0,3,8,5,32,"The North Face Longsleeve, 100% Baumwolle",https://www.vinted.fr/items/846300171-the-north-face-pullover
Weißer The North Face Hoodie,The North Face,6.0,4,3,4.5,15,"Ab und zu getragen
Hat an der bauchtasche oben links 2 Löcher.
Verkauf nur über Paypal.",https://www.vinted.fr/items/5346260611-weisser-the-north-face-hoodie
North Face Pullover Gr.XS,The North Face,15.0,3,10,5,99,"Der Pullover ist in einem sehr guten Zustand 

Wir sind ein Nichtraucherhaushalt",https://www.vinted.fr/items/5311930759-north-face-pullover-grxs
The north face pullover,The North Face,15.0,4,10,No rating,No evaluations,oft getragen aber hing jetzt nur noch im Schrank. Kann jedes Gechlecht tragen,https://www.vinted.fr/items/1801691867-the-north-face-pullover
"Grauer North Face Pullover, 22€ Verhandelbar",The North Face,16.0,3,8,5,7,"North Face Pullover in grau, Größe XS, Artikel nahezu ungetragen",https://www.vinted.fr/items/2268198083-grauer-north-face-pullover-22eu-verhandelbar
"Vintage The North Face Pullover, Half zipper, Zipper, Reißverschluss Pullover, hoodie, weiß, Größe M",The North Face,15.0,3,7,5,46,"Zustand: Gut, keine sichtbar auffälligen Mängel 

Größe: M

Farbe: dunkleres weiß 

Bei Fragen einfach melden!",https://www.vinted.fr/items/5776166748-vintage-the-north-face-pullover-half-zipper-zipper-reissverschluss-pullover-hoodie-weiss-grosse-m
North Face hoodie,The North Face,14.0,4,8,3.4,5,"-oft getragen 
-guter Zustand 
Size M, aber fittet eher S",https://www.vinted.fr/items/4794272869-north-face-hoodie
